# Created At: Mon Aug 05 2024 18:30:13 GMT+0200 (centraleuropeisk sommartid)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?tissues=UBERON%3A0002369&genes=AIF1%2CCST3%2CHLA-DRA%2CHLA-DPA1%2CLYZ%2CHLA-DQB1%2CLST1%2CSAT1%2CHLA-DPB1%2CPSAP%2CCD74%2CTYROBP%2CHLA-DRB1%2CCPVL%2CHLA-DQA1%2CCTSS%2CMS4A6A%2CCALHM6%2CFGL2%2CCSTA%2CGPR183%2CSPI1%2CJAML%2CHLA-DMB%2CRNASE6%2CC1QB%2CNPC2%2CC1QA%2CCD163%2CC1QC%2CMS4A7%2CCTSB%2CGRN%2CC5AR1%2CVSIG4%2CCD14%2CMS4A4A%2CFCER1G%2CPLAUR%2CMAFB%2CLAPTM5%2CLIPA%2CFCGR3A%2CAPOC1%2CCSF1R%2CMPO%2CRETN%2CMS4A3%2CS100A9%2CPRTN3%2CS100A8%2CAZU1%2CPLAC8%2CDEFA4%2CS100P%2CMNDA%2CNUCB2%2CCTSG%2CSRGN%2CDEFA3%2CTREM2%2CCD3E%2CCD3D%2CZFP36L2%2CBTG1%2CCXCR4%2CHLA-B%2CGZMA%2CCD2%2CPTPRC%2CCCL5%2CCST7%2CHLA-C%2CDUSP2%2CCD7%2CIL2RG%2CCYTIP%2CNKG7%2CGZMH%2CHLA-A%2CTNFAIP3%2CLCK%2CCD8A%2CIL32%2CCD3G%2CTRBC2%2CFLT1%2CLDB2%2CEMCN%2CPLVAP%2CCALCRL%2CPTPRB%2CEPAS1%2CKDR%2CST6GALNAC3%2CTGFBR2%2CHSPG2%2CRAMP2%2CEFNB2%2CPRCP%2CCDH5%2CCHRM3%2CA2M%2CEGFL7%2CKIAA1217%2CBTNL9%2CARHGAP29%2CENG%2CPTPRG%2CRASAL2%2CSEC14L1%2CCOL3A1%2CCOL1A2%2CCOL1A1%2CDCN%2CLUM%2CGPC3%2CPOSTN%2CFSTL1%2CMEST%2CSPARC%2CISLR%2COGN%2CCXCL12%2CCOL5A2%2CCOL5A1%2CPCOLCE%2CPLAC9%2CMGP%2CFBN1%2COLFML3%2CSERPINH1%2CCOL12A1%2CCRABP2%2CSULT1E1%2CPRSS35%2CNRXN1%2CNKAIN3%2CNRXN3%2CDST%2CPTPRZ1%2COLFML2A%2CSLC35F1%2CGAS7%2CPLP1%2CLRRTM4%2CQKI%2CPCDH9%2CCDH19%2CSOX5%2CNLGN4X%2CMPZ%2CIL1RAPL1%2CSORCS1%2CNLGN1%2CZNF536%2CTIMP3%2CPARD3B%2CVCAN%2CNAALADL2%2CRBFOX1%2CRGS5_ENSG00000143248%2CSTMN2%2CCACNA2D3%2CCNTN1%2CKCNQ5%2CCNTNAP2%2CDPP6%2CMAP1B%2CCADM2%2CSYT1%2CDLC1%2CCADM1%2CALCAM%2CRBMS3%2CLINGO2%2CUNC5C%2CCHGB%2CBMPR1B%2CTENM3%2CEML5%2CSEMA6D%2CPLXNA4%2CSORBS2%2CCTNNA2%2CFAM155A%2CCHGA%2CCCSER1%2CFGF14%2CAGBL4%2CROBO1%2CMEG3%2CROBO2%2CLSAMP%2CSLC24A2%2CDGKB%2CRALYL%2CMGAT4C%2CCACNB2%2CMAGI2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: No selection
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adrenal gland,macrophage,2728,0.01%,CRABP2,2.3322641372680666,0.19508817982969162,20
adrenal gland,macrophage,2728,0.01%,SULT1E1,2.298987315251277,0.18800388120916725,13
adrenal gland,macrophage,2728,0.01%,PRSS35,2.0839614868164062,0.14222705856096815,7
adrenal gland,macrophage,2728,0.00%,NRXN1,2.053525924682617,0.13574763541381488,2
adrenal gland,macrophage,2728,,NKAIN3,,,
adrenal gland,macrophage,2728,0.00%,NRXN3,2.7877187728881836,0.29204986220450124,2
adrenal gland,macrophage,2728,0.08%,DST,1.873580673993644,0.09743911272548185,118
adrenal gland,macrophage,2728,0.00%,PTPRZ1,2.786288261413574,0.2917453207894254,1
adrenal gland,macrophage,2728,0.00%,OLFML2A,2.3159985542297363,0.19162540182095242,4
adrenal gland,macrophage,2728,0.00%,SLC35F1,2.4829838275909424,0.22717487650107107,1
adrenal gland,macrophage,2728,0.14%,GAS7,2.0711367860132333,0.13949680955573812,196
adrenal gland,macrophage,2728,0.01%,PLP1,2.8949339730398997,0.3148748932171028,7
adrenal gland,macrophage,2728,,LRRTM4,,,
adrenal gland,macrophage,2728,0.31%,QKI,2.1810721908533934,0.16290094461596077,431
adrenal gland,macrophage,2728,0.00%,PCDH9,2.2563209533691406,0.17892064458062415,4
adrenal gland,macrophage,2728,0.00%,CDH19,2.6397600173950195,0.2605509406155986,3
adrenal gland,macrophage,2728,0.00%,SOX5,2.494931221008301,0.22971835564288184,2
adrenal gland,macrophage,2728,0.00%,NLGN4X,2.250051180521647,0.1775858733962818,3
adrenal gland,macrophage,2728,0.00%,MPZ,2.1136302947998047,0.14854324750964076,6
adrenal gland,macrophage,2728,,IL1RAPL1,,,
adrenal gland,macrophage,2728,0.00%,SORCS1,1.779143214225769,0.0773343333201098,4
adrenal gland,macrophage,2728,0.00%,NLGN1,2.3745884895324707,0.204098606072018,1
adrenal gland,macrophage,2728,,ZNF536,,,
adrenal gland,macrophage,2728,0.09%,TIMP3,2.501324462890625,0.2310794121351387,130
adrenal gland,macrophage,2728,0.00%,PARD3B,2.118095874786377,0.14949392429370245,1
adrenal gland,macrophage,2728,0.19%,VCAN,2.498875404471782,0.23055803238410838,268
adrenal gland,macrophage,2728,,NAALADL2,,,
adrenal gland,macrophage,2728,,RBFOX1,,,
adrenal gland,macrophage,2728,,RGS5_ENSG00000143248,,,
adrenal gland,macrophage,2728,0.00%,STMN2,3.027669588724772,0.3431329624106199,6
adrenal gland,macrophage,2728,0.01%,CACNA2D3,1.9952659606933594,0.12334467871582677,15
adrenal gland,macrophage,2728,0.00%,CNTN1,2.291682720184326,0.18644880684749354,2
adrenal gland,macrophage,2728,,KCNQ5,,,
adrenal gland,macrophage,2728,,CNTNAP2,,,
adrenal gland,macrophage,2728,0.00%,DPP6,2.6675631999969482,0.26646995680210983,1
adrenal gland,macrophage,2728,0.01%,MAP1B,2.2784828186035155,0.18363868139402284,10
adrenal gland,macrophage,2728,,CADM2,,,
adrenal gland,macrophage,2728,0.00%,SYT1,1.950822353363037,0.11388308451844602,4
adrenal gland,macrophage,2728,0.04%,DLC1,2.2131059265136717,0.16972060273216708,50
adrenal gland,macrophage,2728,0.06%,CADM1,2.116466522216797,0.1491470516219311,80
adrenal gland,macrophage,2728,0.21%,ALCAM,2.2202503625365804,0.17124158085429605,299
adrenal gland,macrophage,2728,0.01%,RBMS3,2.0008798487046184,0.1245398186565902,17
adrenal gland,macrophage,2728,0.00%,LINGO2,2.0409505367279053,0.1330704625907858,1
adrenal gland,macrophage,2728,0.00%,UNC5C,2.260590076446533,0.17982949767701545,2
adrenal gland,macrophage,2728,0.07%,CHGB,2.506077013517681,0.2320911820641974,95
adrenal gland,macrophage,2728,,BMPR1B,,,
adrenal gland,macrophage,2728,0.00%,TENM3,2.5901734828948975,0.24999446927411773,4
adrenal gland,macrophage,2728,0.00%,EML5,2.4275052547454834,0.2153640498277954,1
adrenal gland,macrophage,2728,0.00%,SEMA6D,2.543337345123291,0.24002352956002265,2
adrenal gland,macrophage,2728,,PLXNA4,,,
adrenal gland,macrophage,2728,0.04%,SORBS2,2.4399007161458335,0.21800291810839495,57
adrenal gland,macrophage,2728,,CTNNA2,,,
adrenal gland,macrophage,2728,,FAM155A,,,
adrenal gland,macrophage,2728,0.00%,CHGA,1.9618028004964192,0.11622071058263303,3
adrenal gland,macrophage,2728,0.01%,CCSER1,1.6503186225891113,0.04990888156390763,8
adrenal gland,macrophage,2728,0.00%,FGF14,2.0409505367279053,0.1330704625907858,1
adrenal gland,macrophage,2728,,AGBL4,,,
adrenal gland,macrophage,2728,0.00%,ROBO1,2.307191530863444,0.18975047568007056,6
adrenal gland,macrophage,2728,0.07%,MEG3,2.4182984034220376,0.21340400436139983,96
adrenal gland,macrophage,2728,0.00%,ROBO2,2.4611358642578125,0.2225236662255205,1
adrenal gland,macrophage,2728,0.00%,LSAMP,2.4014134407043457,0.20980936668751987,4
adrenal gland,macrophage,2728,,SLC24A2,,,
adrenal gland,macrophage,2728,,DGKB,,,
adrenal gland,macrophage,2728,0.00%,RALYL,2.382600943247477,0.20580437637579269,6
adrenal gland,macrophage,2728,,MGAT4C,,,
adrenal gland,macrophage,2728,0.00%,CACNB2,2.3495965003967285,0.1987780645230333,2
adrenal gland,macrophage,2728,0.00%,MAGI2,1.969234784444173,0.11780290474775697,3
adrenal gland,dendritic cell,432,0.28%,AIF1,3.092348845108696,0.3569025214912914,391
adrenal gland,dendritic cell,432,0.30%,CST3,3.657948179108104,0.47731289540259425,418
adrenal gland,dendritic cell,432,0.30%,HLA-DRA,4.247244823519541,0.6027681868657405,419
adrenal gland,dendritic cell,432,0.27%,HLA-DPA1,3.4205969656992083,0.4267832242433696,379
adrenal gland,dendritic cell,432,0.23%,LYZ,3.8092363465507075,0.5095206150993412,318
adrenal gland,dendritic cell,432,0.22%,HLA-DQB1,2.887559000651042,0.31330483623586736,300
adrenal gland,dendritic cell,432,0.20%,LST1,2.4825027519738296,0.22707246037104037,283
adrenal gland,dendritic cell,432,0.29%,SAT1,3.721676006988065,0.49087990498395506,398
adrenal gland,dendritic cell,432,0.26%,HLA-DPB1,3.4037518089528205,0.4231970608579134,359
adrenal gland,dendritic cell,432,0.26%,PSAP,2.8273264139640233,0.30048192812997404,357
adrenal gland,dendritic cell,432,0.31%,CD74,4.516654574255428,0.6601227961650029,426
adrenal gland,dendritic cell,432,0.23%,TYROBP,3.250971941541798,0.39067177333503295,317
adrenal gland,dendritic cell,432,0.28%,HLA-DRB1,3.6099435254401966,0.4670931904804499,394
adrenal gland,dendritic cell,432,0.14%,CPVL,2.6251263427734375,0.25743557939262574,200
adrenal gland,dendritic cell,432,0.19%,HLA-DQA1,2.915317137729247,0.31921426268627295,259
adrenal gland,dendritic cell,432,0.19%,CTSS,2.522155073352326,0.23551403828075004,266
adrenal gland,dendritic cell,432,0.13%,MS4A6A,2.365166139066889,0.2020926830192776,178
adrenal gland,dendritic cell,432,0.13%,CALHM6,2.260040458591505,0.1797124895982323,174
adrenal gland,dendritic cell,432,0.14%,FGL2,2.275696110604378,0.18304541946461944,197
adrenal gland,dendritic cell,432,0.12%,CSTA,2.287490126665901,0.1855562461196688,170
adrenal gland,dendritic cell,432,0.17%,GPR183,2.680818103608631,0.2692917916312906,231
adrenal gland,dendritic cell,432,0.11%,SPI1,2.0807216644287108,0.14153733316410438,160
adrenal gland,dendritic cell,432,0.12%,JAML,2.204000762014678,0.1677822053615491,165
adrenal gland,dendritic cell,432,0.15%,HLA-DMB,2.0880548458288213,0.14309849326679228,202
adrenal gland,dendritic cell,432,0.13%,RNASE6,2.373552930224073,0.2038781459759111,182
adrenal gland,dendritic cell,432,0.06%,C1QB,3.040064248693995,0.3457716600746436,83
adrenal gland,dendritic cell,432,0.23%,NPC2,2.5672944425805215,0.2451237531445463,326
adrenal gland,dendritic cell,432,0.07%,C1QA,2.898695390303056,0.3156756608840138,91
adrenal gland,dendritic cell,432,0.06%,CD163,2.147818825461648,0.15582163967350934,77
adrenal gland,dendritic cell,432,0.05%,C1QC,2.651932716369629,0.2631423850302838,64
adrenal gland,dendritic cell,432,0.08%,MS4A7,2.2554939671566614,0.17874458758571932,114
adrenal gland,dendritic cell,432,0.18%,CTSB,2.535283734721522,0.2383089974141733,248
adrenal gland,dendritic cell,432,0.16%,GRN,2.242007926658348,0.17587354605265662,216
adrenal gland,dendritic cell,432,0.07%,C5AR1,2.2450743694694673,0.17652636069240105,98
adrenal gland,dendritic cell,432,0.03%,VSIG4,2.3589549473353792,0.20077038316164258,35
adrenal gland,dendritic cell,432,0.10%,CD14,2.589021597335588,0.24974924449650218,134
adrenal gland,dendritic cell,432,0.04%,MS4A4A,2.1796678396371694,0.1626019724551334,52
adrenal gland,dendritic cell,432,0.22%,FCER1G,3.008488596827271,0.33904952336192723,311
adrenal gland,dendritic cell,432,0.14%,PLAUR,2.7543982491275383,0.284956259925005,197
adrenal gland,dendritic cell,432,0.06%,MAFB,2.235668271086937,0.17452389754365877,86
adrenal gland,dendritic cell,432,0.22%,LAPTM5,2.463972740047442,0.2231276083697833,303
adrenal gland,dendritic cell,432,0.04%,LIPA,2.1668821481557994,0.1598800281397111,52
adrenal gland,dendritic cell,432,0.04%,FCGR3A,2.2402706146240234,0.1755036899034734,56
adrenal gland,dendritic cell,432,0.03%,APOC1,2.4138759068080358,0.21246249959132174,35
adrenal gland,dendritic cell,432,0.06%,CSF1R,2.096584785275343,0.1449144310454558,82
adrenal gland,dendritic cell,432,0.00%,MPO,3.1919854482014975,0.37811414589123965,3
adrenal gland,dendritic cell,432,0.04%,RETN,2.1504759241323,0.1563873090886236,61
adrenal gland,dendritic cell,432,0.00%,MS4A3,2.2070239384969077,0.16842580903776116,3
adrenal gland,dendritic cell,432,0.13%,S100A9,4.115643411710117,0.574751578198297,181
adrenal gland,dendritic cell,432,,PRTN3,,,
adrenal gland,dendritic cell,432,0.11%,S100A8,4.0912009791324015,0.5695480316785843,152
adrenal gland,dendritic cell,432,0.00%,AZU1,1.8870747884114583,0.10031187311429202,3
adrenal gland,dendritic cell,432,0.11%,PLAC8,2.4833120669958726,0.22724475534834726,159
adrenal gland,dendritic cell,432,,DEFA4,,,
adrenal gland,dendritic cell,432,0.01%,S100P,2.150355445014106,0.15636166030370072,9
adrenal gland,dendritic cell,432,0.10%,MNDA,2.0986370218211206,0.14535133143585083,145
adrenal gland,dendritic cell,432,0.02%,NUCB2,2.060521125793457,0.13723684293353566,24
adrenal gland,dendritic cell,432,,CTSG,,,
adrenal gland,dendritic cell,432,0.28%,SRGN,3.4783227848101266,0.4390724669027133,395
adrenal gland,dendritic cell,432,0.00%,DEFA3,2.462839126586914,0.22288627353707077,6
adrenal gland,dendritic cell,432,0.01%,TREM2,2.151217460632324,0.15654517470456308,10
adrenal gland,dendritic cell,432,0.00%,CD3E,2.0297110875447593,0.1306776976115026,3
adrenal gland,dendritic cell,432,0.01%,CD3D,2.2688283920288086,0.18158335168643713,12
adrenal gland,dendritic cell,432,0.12%,ZFP36L2,2.325030103141879,0.1935481271781758,162
adrenal gland,dendritic cell,432,0.17%,BTG1,2.746965573157793,0.2833739184354029,243
adrenal gland,dendritic cell,432,0.17%,CXCR4,2.5340459673236513,0.2380454892623179,241
adrenal gland,dendritic cell,432,0.24%,HLA-B,3.3960673014322915,0.4215611069798771,336
adrenal gland,dendritic cell,432,0.01%,GZMA,2.253532648086548,0.17832704260573887,8
adrenal gland,dendritic cell,432,0.01%,CD2,2.1599159240722656,0.15839698953583414,9
adrenal gland,dendritic cell,432,0.12%,PTPRC,2.126684111666817,0.15132227300603265,173
adrenal gland,dendritic cell,432,0.02%,CCL5,2.2382960001627605,0.17508331446927677,30
adrenal gland,dendritic cell,432,0.02%,CST7,2.1152169600777,0.14888103248904047,23
adrenal gland,dendritic cell,432,0.22%,HLA-C,3.002407234463491,0.33775486286270956,309
adrenal gland,dendritic cell,432,0.10%,DUSP2,2.362128089455997,0.20144591300450074,136
adrenal gland,dendritic cell,432,0.01%,CD7,1.9750621318817139,0.11904348804000336,8
adrenal gland,dendritic cell,432,0.04%,IL2RG,2.012740830243644,0.12706490158405812,59
adrenal gland,dendritic cell,432,0.09%,CYTIP,2.0364505178560086,0.13211245411658637,123
adrenal gland,dendritic cell,432,0.03%,NKG7,2.1844473944769964,0.16361949130778777,45
adrenal gland,dendritic cell,432,0.01%,GZMH,2.239981757269965,0.1754421950962514,9
adrenal gland,dendritic cell,432,0.20%,HLA-A,2.956888687739734,0.328064424947674,277
adrenal gland,dendritic cell,432,0.09%,TNFAIP3,2.1778321266174316,0.1622111677320488,128
adrenal gland,dendritic cell,432,0.00%,LCK,1.8589447339375813,0.09432326921443597,3
adrenal gland,dendritic cell,432,0.01%,CD8A,1.98667539869036,0.12151583500843574,7
adrenal gland,dendritic cell,432,0.02%,IL32,2.1002687072753905,0.14569870075516209,25
adrenal gland,dendritic cell,432,0.00%,CD3G,1.834202766418457,0.08905595473721953,2
adrenal gland,dendritic cell,432,0.01%,TRBC2,1.915055547441755,0.10626869352519375,7
adrenal gland,dendritic cell,432,0.01%,FLT1,1.8109906514485676,0.08411433038445913,12
adrenal gland,dendritic cell,432,0.00%,LDB2,2.3997751235961915,0.20946058555621405,5
adrenal gland,dendritic cell,432,0.00%,EMCN,1.9586376190185546,0.11554687548004926,5
adrenal gland,dendritic cell,432,0.01%,PLVAP,2.10302734375,0.14628598654109873,8
adrenal gland,dendritic cell,432,0.01%,CALCRL,1.9458493126763239,0.11282437448721411,18
adrenal gland,dendritic cell,432,0.00%,PTPRB,1.5162087678909302,0.021358250792805306,1
adrenal gland,dendritic cell,432,0.01%,EPAS1,2.033203601837158,0.13142121855744268,8
adrenal gland,dendritic cell,432,0.00%,KDR,1.997255563735962,0.12376824506729474,2
adrenal gland,dendritic cell,432,0.00%,ST6GALNAC3,1.8095985651016235,0.08381796929017162,4
adrenal gland,dendritic cell,432,0.02%,TGFBR2,1.9698745182582311,0.11793909760217519,28
adrenal gland,dendritic cell,432,0.01%,HSPG2,2.627650669642857,0.2579729830350096,7
adrenal gland,dendritic cell,432,0.01%,RAMP2,2.078842980521066,0.14113738037388257,7
adrenal gland,dendritic cell,432,0.01%,EFNB2,2.218359810965402,0.17083910155861776,7
adrenal gland,dendritic cell,432,0.05%,PRCP,1.7766698201497395,0.07680777275395995,63
adrenal gland,dendritic cell,432,0.00%,CDH5,2.2716598510742188,0.1821861406606772,3
adrenal gland,dendritic cell,432,,CHRM3,,,
adrenal gland,dendritic cell,432,0.02%,A2M,2.5063939587823274,0.2321586565033125,29
adrenal gland,dendritic cell,432,0.00%,EGFL7,2.0314297676086426,0.13104358720274867,4
adrenal gland,dendritic cell,432,,KIAA1217,,,
adrenal gland,dendritic cell,432,,BTNL9,,,
adrenal gland,dendritic cell,432,,ARHGAP29,,,
adrenal gland,dendritic cell,432,0.01%,ENG,1.8164893786112468,0.08528495374607563,12
adrenal gland,dendritic cell,432,,PTPRG,,,
adrenal gland,dendritic cell,432,0.00%,RASAL2,2.059830665588379,0.13708985094385906,2
adrenal gland,dendritic cell,432,0.04%,SEC14L1,1.849994587448408,0.0924178736092081,53
adrenal gland,dendritic cell,432,0.02%,COL3A1,2.7974657331194197,0.29412489139105075,28
adrenal gland,dendritic cell,432,0.02%,COL1A2,2.767481157856603,0.287741478784396,31
adrenal gland,dendritic cell,432,0.02%,COL1A1,2.892685803500089,0.31439628067526965,22
adrenal gland,dendritic cell,432,0.01%,DCN,2.4909790886773004,0.22887698666820905,18
adrenal gland,dendritic cell,432,0.01%,LUM,2.6252420213487415,0.25746020619055243,9
adrenal gland,dendritic cell,432,0.00%,GPC3,2.340593719482422,0.19686146358139506,5
adrenal gland,dendritic cell,432,0.01%,POSTN,2.337750540839301,0.19625617962341368,9
adrenal gland,dendritic cell,432,0.01%,FSTL1,2.4076507886250815,0.21113723493312053,12
adrenal gland,dendritic cell,432,0.01%,MEST,2.14172477722168,0.15452427847964195,20
adrenal gland,dendritic cell,432,0.03%,SPARC,2.6414354112413196,0.2609076150092108,36
adrenal gland,dendritic cell,432,0.01%,ISLR,2.123264721461705,0.1505943194382043,7
adrenal gland,dendritic cell,432,0.01%,OGN,2.4049292973109653,0.2105578569759155,7
adrenal gland,dendritic cell,432,0.01%,CXCL12,2.368708610534668,0.20284683934225134,12
adrenal gland,dendritic cell,432,0.01%,COL5A2,2.3019847869873047,0.1886420126050646,8
adrenal gland,dendritic cell,432,0.01%,COL5A1,2.026665369669596,0.13002929510087108,9
adrenal gland,dendritic cell,432,0.01%,PCOLCE,2.189619700113932,0.16472062283020858,9
adrenal gland,dendritic cell,432,0.00%,PLAC9,2.26849365234375,0.18151208899530938,3
adrenal gland,dendritic cell,432,0.01%,MGP,2.422671454293387,0.21433498263329592,14
adrenal gland,dendritic cell,432,0.00%,FBN1,2.053164482116699,0.1356706879496057,4
adrenal gland,dendritic cell,432,0.01%,OLFML3,2.093790735517229,0.14431960612987052,7
adrenal gland,dendritic cell,432,0.03%,SERPINH1,2.171813170115153,0.16092979280914974,48
adrenal gland,dendritic cell,432,0.00%,COL12A1,2.153560161590576,0.15704391202865225,3
adrenal gland,dendritic cell,432,0.00%,CRABP2,2.209172566731771,0.16888323024320506,3
adrenal gland,dendritic cell,432,0.00%,SULT1E1,1.7256097793579102,0.06593760683598349,5
adrenal gland,dendritic cell,432,0.00%,PRSS35,2.2135950724283853,0.1698247369468794,3
adrenal gland,dendritic cell,432,,NRXN1,,,
adrenal gland,dendritic cell,432,,NKAIN3,,,
adrenal gland,dendritic cell,432,,NRXN3,,,
adrenal gland,dendritic cell,432,0.01%,DST,1.8595473766326904,0.09445156574502044,16
adrenal gland,dendritic cell,432,,PTPRZ1,,,
adrenal gland,dendritic cell,432,0.00%,OLFML2A,2.1529648303985596,0.1569171720430782,1
adrenal gland,dendritic cell,432,,SLC35F1,,,
adrenal gland,dendritic cell,432,0.02%,GAS7,1.9044612537730823,0.10401327562547541,22
adrenal gland,dendritic cell,432,0.00%,PLP1,2.4789693355560303,0.22632023177656327,1
adrenal gland,dendritic cell,432,,LRRTM4,,,
adrenal gland,dendritic cell,432,0.05%,QKI,1.9044923048753004,0.10401988609087678,65
adrenal gland,dendritic cell,432,0.00%,PCDH9,1.98345947265625,0.12083119690340097,2
adrenal gland,dendritic cell,432,,CDH19,,,
adrenal gland,dendritic cell,432,,SOX5,,,
adrenal gland,dendritic cell,432,0.00%,NLGN4X,1.9553805589675903,0.11485348035913388,2
adrenal gland,dendritic cell,432,0.00%,MPZ,1.8133312463760376,0.08461261935590947,1
adrenal gland,dendritic cell,432,,IL1RAPL1,,,
adrenal gland,dendritic cell,432,,SORCS1,,,
adrenal gland,dendritic cell,432,,NLGN1,,,
adrenal gland,dendritic cell,432,,ZNF536,,,
adrenal gland,dendritic cell,432,0.01%,TIMP3,2.182619571685791,0.16323036633450258,12
adrenal gland,dendritic cell,432,0.00%,PARD3B,1.5162087678909302,0.021358250792805306,1
adrenal gland,dendritic cell,432,0.10%,VCAN,2.7944999063821663,0.2934934968951209,133
adrenal gland,dendritic cell,432,0.00%,NAALADL2,1.7092628479003906,0.06245751057210701,1
adrenal gland,dendritic cell,432,,RBFOX1,,,
adrenal gland,dendritic cell,432,,RGS5_ENSG00000143248,,,
adrenal gland,dendritic cell,432,0.00%,STMN2,2.1532607078552246,0.1569801613590964,4
adrenal gland,dendritic cell,432,0.02%,CACNA2D3,2.0884756608442827,0.1431880805246147,22
adrenal gland,dendritic cell,432,,CNTN1,,,
adrenal gland,dendritic cell,432,,KCNQ5,,,
adrenal gland,dendritic cell,432,,CNTNAP2,,,
adrenal gland,dendritic cell,432,,DPP6,,,
adrenal gland,dendritic cell,432,0.00%,MAP1B,2.473977565765381,0.22525753450865618,1
adrenal gland,dendritic cell,432,,CADM2,,,
adrenal gland,dendritic cell,432,,SYT1,,,
adrenal gland,dendritic cell,432,0.00%,DLC1,1.7428088188171387,0.06959910826944013,2
adrenal gland,dendritic cell,432,0.02%,CADM1,1.7124968937465124,0.06314600620173273,28
adrenal gland,dendritic cell,432,0.01%,ALCAM,1.5769561131795247,0.03429074579522399,12
adrenal gland,dendritic cell,432,,RBMS3,,,
adrenal gland,dendritic cell,432,,LINGO2,,,
adrenal gland,dendritic cell,432,0.00%,UNC5C,2.6003780364990234,0.2521669154585611,1
adrenal gland,dendritic cell,432,0.01%,CHGB,2.3914754390716553,0.2076936667200856,8
adrenal gland,dendritic cell,432,,BMPR1B,,,
adrenal gland,dendritic cell,432,,TENM3,,,
adrenal gland,dendritic cell,432,,EML5,,,
adrenal gland,dendritic cell,432,0.00%,SEMA6D,2.3710601329803467,0.20334745467173349,1
adrenal gland,dendritic cell,432,0.00%,PLXNA4,1.91015625,0.10522568268447549,3
adrenal gland,dendritic cell,432,0.00%,SORBS2,2.1795339584350586,0.16257347050218401,2
adrenal gland,dendritic cell,432,,CTNNA2,,,
adrenal gland,dendritic cell,432,,FAM155A,,,
adrenal gland,dendritic cell,432,0.00%,CHGA,2.334503173828125,0.19556484805256827,2
adrenal gland,dendritic cell,432,0.00%,CCSER1,1.4637325286865235,0.01018659056580053,5
adrenal gland,dendritic cell,432,,FGF14,,,
adrenal gland,dendritic cell,432,,AGBL4,,,
adrenal gland,dendritic cell,432,0.00%,ROBO1,1.8831369082132976,0.09947353827445833,6
adrenal gland,dendritic cell,432,0.00%,MEG3,2.1573986053466796,0.1578610778563447,5
adrenal gland,dendritic cell,432,0.00%,ROBO2,1.993496060371399,0.12296788485002422,1
adrenal gland,dendritic cell,432,,LSAMP,,,
adrenal gland,dendritic cell,432,,SLC24A2,,,
adrenal gland,dendritic cell,432,,DGKB,,,
adrenal gland,dendritic cell,432,,RALYL,,,
adrenal gland,dendritic cell,432,,MGAT4C,,,
adrenal gland,dendritic cell,432,,CACNB2,,,
adrenal gland,dendritic cell,432,0.00%,MAGI2,2.470005512237549,0.22441192451279565,1
adrenal gland,B cell,384,0.02%,AIF1,2.219567071823847,0.1710961151769789,21
adrenal gland,B cell,384,0.01%,CST3,2.350416342417399,0.19895260059180672,12
adrenal gland,B cell,384,0.26%,HLA-DRA,4.396575502698468,0.6345591771224268,359
adrenal gland,B cell,384,0.20%,HLA-DPA1,3.039150829046545,0.34557720227620586,284
adrenal gland,B cell,384,0.00%,LYZ,2.179446220397949,0.16255479196205935,6
adrenal gland,B cell,384,0.20%,HLA-DQB1,2.582466997419085,0.24835383651183515,280
adrenal gland,B cell,384,0.02%,LST1,1.959031191739169,0.11563066312901157,22
adrenal gland,B cell,384,0.18%,SAT1,2.703421214270213,0.2741037651304011,252
adrenal gland,B cell,384,0.20%,HLA-DPB1,2.891047303105744,0.3140474605241888,284
adrenal gland,B cell,384,0.05%,PSAP,1.8744408456902755,0.09762223457410026,76
adrenal gland,B cell,384,0.27%,CD74,4.776233613178992,0.7153845464137324,382
adrenal gland,B cell,384,0.01%,TYROBP,2.4310483932495117,0.2161183481560357,12
adrenal gland,B cell,384,0.25%,HLA-DRB1,3.4370855287063953,0.43029347243075083,344
adrenal gland,B cell,384,0.00%,CPVL,2.4350290298461914,0.2169657854003867,2
adrenal gland,B cell,384,0.16%,HLA-DQA1,2.5019429524739585,0.23121108230784354,216
adrenal gland,B cell,384,0.07%,CTSS,1.9047869168795073,0.10408260600487397,104
adrenal gland,B cell,384,0.00%,MS4A6A,2.0220842361450195,0.1290540181380583,2
adrenal gland,B cell,384,0.03%,CALHM6,2.4916967912153765,0.22902977827486767,44
adrenal gland,B cell,384,0.01%,FGL2,1.8803561528523762,0.09888154360148589,12
adrenal gland,B cell,384,,CSTA,,,
adrenal gland,B cell,384,0.11%,GPR183,2.26996354867291,0.18182501504731421,151
adrenal gland,B cell,384,0.02%,SPI1,1.7394548143659319,0.06888507466686448,28
adrenal gland,B cell,384,0.00%,JAML,1.8911054134368896,0.10116995238920319,4
adrenal gland,B cell,384,0.10%,HLA-DMB,2.0773246593045114,0.14081414515344826,133
adrenal gland,B cell,384,0.04%,RNASE6,2.1659772237141928,0.15968737888461945,60
